country,key,value,date
ec,punk,0,2017-03-26
ec,punk,0,2017-04-02
ec,punk,0,2017-04-09
ec,punk,0,2017-04-16
ec,punk,0,2017-04-23
ec,punk,0,2017-04-30
ec,punk,0,2017-05-07
ec,punk,0,2017-05-14
ec,punk,0,2017-05-21
ec,punk,0,2017-05-28
ec,punk,0,2017-06-04
ec,punk,0,2017-06-11
ec,punk,0,2017-06-18
ec,punk,0,2017-06-25
ec,punk,0,2017-07-02
ec,punk,0,2017-07-09
ec,punk,0,2017-07-16
ec,punk,0,2017-07-23
ec,punk,0,2017-07-30
ec,punk,0,2017-08-06
ec,punk,0,2017-08-13
ec,punk,0,2017-08-20
ec,punk,0,2017-08-27
ec,punk,0,2017-09-03
ec,punk,0,2017-09-10
ec,punk,0,2017-09-17
ec,punk,0,2017-09-24
ec,punk,0,2017-10-01
ec,punk,0,2017-10-08
ec,punk,0,2017-10-15
ec,punk,0,2017-10-22
ec,punk,0,2017-10-29
ec,punk,0,2017-11-05
ec,punk,0,2017-11-12
ec,punk,0,2017-11-19
ec,punk,0,2017-11-26
ec,punk,0,2017-12-03
ec,punk,0,2017-12-10
ec,punk,0,2017-12-17
ec,punk,0,2017-12-24
ec,punk,0,2017-12-31
ec,rock,9141,2017-01-01
ec,rock,10480,2017-01-08
ec,rock,9010,2017-01-15
ec,rock,10405,2017-01-22
ec,rock,7176,2017-01-29
ec,rock,4165,2017-02-05
ec,rock,1486,2017-02-12
ec,rock,1363,2017-02-19
ec,rock,1238,2017-02-26
ec,rock,0,2017-03-05
ec,rock,0,2017-03-12
ec,rock,1424,2017-03-19
ec,rock,0,2017-03-26
ec,rock,0,2017-04-02
ec,rock,0,2017-04-09
ec,rock,0,2017-04-16
ec,rock,0,2017-04-23
ec,rock,0,2017-04-30
ec,rock,0,2017-05-07
ec,rock,1509,2017-05-14
ec,rock,0,2017-05-21
ec,rock,3040,2017-05-28
ec,rock,1568,2017-06-04
ec,rock,4660,2017-06-11
ec,rock,0,2017-06-18
ec,rock,0,2017-06-25
ec,rock,0,2017-07-02
ec,rock,3448,2017-07-09
ec,rock,1741,2017-07-16
ec,rock,0,2017-07-23
ec,rock,0,2017-07-30
ec,rock,0,2017-08-06
ec,rock,0,2017-08-13
ec,rock,0,2017-08-20
ec,rock,0,2017-08-27
ec,rock,0,2017-09-03
ec,rock,3761,2017-09-10
ec,rock,0,2017-09-17
ec,rock,0,2017-09-24
ec,rock,0,2017-10-01
ec,rock,7197,2017-10-08
ec,rock,15806,2017-10-15
ec,rock,15152,2017-10-22
ec,rock,14837,2017-10-29
ec,rock,17085,2017-11-05
ec,rock,12213,2017-11-12
ec,rock,16771,2017-11-19
ec,rock,9738,2017-11-26
ec,rock,7857,2017-12-03
ec,rock,13742,2017-12-10
ec,rock,5824,2017-12-17
ec,rock,0,2017-12-24
ec,rock,2341,2017-12-31
ec,jazz,24,2017-01-01
ec,jazz,0,2017-01-08
ec,jazz,0,2017-01-15
ec,jazz,0,2017-01-22
ec,jazz,0,2017-01-29
