country,key,value,date
ec,classical,0,05/21/17
ec,classical,0,05/28/17
ec,classical,0,06/04/17
ec,classical,0,06/11/17
ec,classical,0,06/18/17
ec,classical,0,06/25/17
ec,classical,0,07/02/17
ec,classical,0,07/09/17
ec,classical,0,07/16/17
ec,classical,0,07/23/17
ec,classical,0,07/30/17
ec,classical,0,08/06/17
ec,classical,0,08/13/17
ec,classical,0,08/20/17
ec,classical,0,08/27/17
ec,classical,0,09/03/17
ec,classical,0,09/10/17
ec,classical,0,09/17/17
ec,classical,0,09/24/17
ec,classical,0,10/01/17
ec,classical,0,10/08/17
ec,classical,0,10/15/17
ec,classical,0,10/22/17
ec,classical,0,10/29/17
ec,classical,0,11/05/17
ec,classical,0,11/12/17
ec,classical,0,11/19/17
ec,classical,0,11/26/17
ec,classical,0,12/03/17
ec,classical,0,12/10/17
ec,classical,2314,12/17/17
ec,classical,12915,12/24/17
ec,classical,0,12/31/17
ec,classical,0,01/07/18
ec,metal,34,01/01/17
ec,metal,0,01/08/17
ec,metal,0,01/15/17
ec,metal,0,01/22/17
ec,metal,0,01/29/17
ec,metal,0,02/05/17
ec,metal,0,02/12/17
ec,metal,0,02/19/17
ec,metal,0,02/26/17
ec,metal,0,03/05/17
ec,metal,0,03/12/17
ec,metal,0,03/19/17
ec,metal,0,03/26/17
ec,metal,0,04/02/17
ec,metal,0,04/09/17
ec,metal,0,04/16/17
ec,metal,0,04/23/17
ec,metal,0,04/30/17
ec,metal,0,05/07/17
ec,metal,0,05/14/17
ec,metal,0,05/21/17
ec,metal,0,05/28/17
ec,metal,0,06/04/17
ec,metal,0,06/11/17
ec,metal,0,06/18/17
ec,metal,0,06/25/17
ec,metal,0,07/02/17
ec,metal,0,07/09/17
ec,metal,0,07/16/17
ec,metal,0,07/23/17
ec,metal,0,07/30/17
ec,metal,0,08/06/17
ec,metal,0,08/13/17
ec,metal,0,08/20/17
ec,metal,0,08/27/17
ec,metal,0,09/03/17
ec,metal,0,09/10/17
ec,metal,0,09/17/17
ec,metal,0,09/24/17
ec,metal,0,10/01/17
ec,metal,0,10/08/17
ec,metal,0,10/15/17
