id,artist_id,artist_name,genres,energy,instrumentalness,liveness,loudness,speechiness,valence,danceability,acousticness,tempo
6b0wH4eNO6Jx6ZwAoGmHfK,03Yb3iBy9GCifXiATEFcit,Pepe Aguilar,/grupera/latin pop/mariachi/ranchera/regional mexican/,0.36,0.0535,0.322,-6.322,0.0273,0.565,0.436,0.7,155.999
0Q6iyPxVFKypsvcqHt6x0u,2pYLo2RugZpdhYRub5nKcV,Phil Lam,/cantopop/,0.534,0,0.11,-9.7,0.031,0.56,0.618,0.543,132.052
7KYvtnPkC8Xycatb6nCqil,undefined,undefined,undefined,0.567,0.221,0.0866,-13.448,0.0379,0.397,0.768,0.481,99.986
4wRYpv96z3nmsiC9f3BdWh,3dI4Io8XE33J2o04ZwjR0Y,LaLa Hsu,/c-pop/mandopop/,0.575,0,0.0855,-5.787,0.0302,0.236,0.523,0.249,135.999
4so0Wek9Ig1p6CRCHuINwW,6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,/adult standards/big band/cabaret/christmas/easy listening/lounge/swing/vocal jazz/,0.143,0.272,0.349,-16.363,0.0364,0.236,0.261,0.675,91.387
4nDfc6F2uVcc6wdG7kBzWO,undefined,undefined,undefined,0.515,0,0.132,-6.578,0.0665,0.187,0.468,0.145,86.21
11iSnFhh2u7BJyzHTazKkm,5M9Bb4adKAgrOFOhc05Y50,Pablo AlborÃ¡n,/latin/latin arena pop/latin pop/spanish pop/,0.261,0,0.175,-11.857,0.0977,0.341,0.417,0.791,177.803
5KIfOGEy5DM2TaT0ph5nYM,undefined,undefined,undefined,0.692,0.0000148,0.311,-5.405,0.0884,0.13,0.616,0.0113,128.033
5rL72USgAnYEshAp1mty9Q,7crp1tZcefnjT5RuL6WZQ0,Slow J,/hip hop tuga/,0.495,0.00397,0.0955,-8.542,0.225,0.569,0.763,0.847,124.648
2cos0GoAP0LnQMoW9Goe2c,0wwDZj4zgZORjTGhTujAKx,Mert,/deep german hip hop/german hip hop/,0.593,0,0.0835,-7.115,0.457,0.306,0.66,0.0508,169.7
714hERk9U1W8FMYkoC83CO,72VzFto8DYvKHocaHYNWSi,Hot Chocolate,/disco/motown/soft rock/,0.734,0.00165,0.167,-5.464,0.0629,0.962,0.791,0.522,105.854
4uuG4svhDuKtDOZ2BXeRA1,undefined,undefined,undefined,0.73,0.00000151,0.101,-7.789,0.372,0.431,0.388,0.113,213.667
4NmiNWf3mFp078EFfvvgnr,6q87vizIEdEN4NvlR6mjfT,Sheila On 7,/indonesian indie/indonesian pop/,0.674,0.00029,0.132,-9.089,0.0341,0.461,0.635,0.0575,117.996
3upwGWP1sYtT0EvPSJkDew,3OYM3jjPVR60kOqmamRRgk,Prinz Pi,/german hip hop/german pop/,0.751,0,0.307,-4.916,0.0684,0.65,0.734,0.159,84.011
2FnUyLhe7sjXgnZlK9sc0z,undefined,undefined,undefined,0.717,0.000223,0.0674,-5.505,0.0482,0.262,0.737,0.00634,92.489
0eBBYmZHFLj8SFfGYk0k01,undefined,undefined,undefined,0.951,0.00000151,0.302,-1.439,0.0888,0.791,0.568,0.0722,159.948
7CRVv14VLogIh8BZLcRpJM,6extd4B6hl8VTmnlhpl2bY,Huncho Jack,/pop/pop rap/rap/southern hip hop/trap music/vapor trap/,0.739,0,0.28,-3.735,0.224,0.507,0.744,0.00161,134.008
2kuPMSSaOYFIxCKrzZO5YE,2yMN0IP20GOaN6q0p0zL5k,Tarkan,/turkish pop/turkish rock/,0.875,0.0000144,0.0472,-3.709,0.0736,0.91,0.758,0.00812,115.014
6aRGTfmcxyKZ6pHJLpNe1c,undefined,undefined,undefined,0.705,0,0.0663,-10.262,0.0513,0.222,0.614,0.0815,124.029
